company,industry,country,year,month,stage,company_size,layoffs_count,layoffs_pct,funds_raised_m,reason,stock_impact_pct,severity
Unity,AI/ML,UK,2023,3,Series B,39062,1947,0.0499,147.0,Cost Cutting,,Low
IBM,Social Media,Germany,2022,10,Public,20669,3572,0.1728,4724.5,Over-hiring Post-COVID,-6.19,High
Lyft,Hardware,India,2022,5,Series B,22104,1970,0.0892,157.4,IPO Preparation,,Medium
Zoom,HealthTech,USA,2022,9,Public,90170,901,0.01,2651.6,IPO Preparation,-19.66,Low
Uber,AI/ML,USA,2023,4,Public,115105,24565,0.2134,4288.1,Market Downturn,4.04,High
Dropbox,Cybersecurity,France,2023,1,Public,89238,5175,0.058,8295.8,Cost Cutting,-8.5,Medium
Cisco,SaaS,USA,2024,4,Public,132256,6829,0.0516,5136.6,Over-hiring Post-COVID,-5.56,Medium
Cisco,HealthTech,Australia,2022,6,Public,128640,11288,0.0878,5252.6,Over-hiring Post-COVID,-10.77,Medium
LinkedIn,Cloud Computing,Germany,2023,5,Public,103037,14608,0.1418,9611.9,IPO Preparation,1.36,Medium
Bolt,Cybersecurity,Canada,2023,1,Series C,111801,12903,0.1154,132.1,Merger/Acquisition,,Medium
LinkedIn,AI/ML,Canada,2023,4,Public,8507,1393,0.1638,6592.9,IPO Preparation,-7.63,High
Google,Social Media,USA,2023,6,Series D+,115415,1482,0.0128,1332.5,Merger/Acquisition,,Low
Shopify,Hardware,Germany,2022,10,Series D+,117919,7146,0.0606,696.0,IPO Preparation,,Medium
Amazon,AI/ML,France,2023,10,Series A,42287,4682,0.1107,53.8,IPO Preparation,,Medium
LinkedIn,HealthTech,USA,2021,4,Series A,50082,13613,0.2718,24.3,Over-hiring Post-COVID,,High
Twilio,HealthTech,Brazil,2022,9,Series D+,84129,9329,0.1109,580.2,Merger/Acquisition,,Medium
Getir,Hardware,UK,2023,5,Public,6282,1299,0.2068,5769.9,Over-hiring Post-COVID,-12.97,High
Amazon,FinTech,USA,2023,8,Public,67270,8279,0.1231,6597.1,Cost Cutting,-4.3,Medium
Zoom,Social Media,USA,2024,9,Private Equity,58145,4727,0.0813,2172.6,IPO Preparation,,Medium
Better.com,Logistics,Singapore,2023,10,Public,104009,10428,0.1003,8139.3,Restructuring,2.0,Medium
Intel,Cybersecurity,USA,2023,5,Public,29704,3164,0.1065,4865.1,Merger/Acquisition,-14.74,Medium
Shopify,E-Commerce,France,2023,6,Public,17652,2970,0.1683,7387.2,Product Pivot,-9.13,High
PayPal,Hardware,Netherlands,2023,1,Public,91055,20939,0.23,4315.4,Regulatory Pressure,-6.4,High
Robinhood,Social Media,USA,2020,11,Public,20189,3003,0.1488,6804.2,Product Pivot,-3.52,Medium
Coinbase,E-Commerce,USA,2022,12,Series B,83751,18003,0.215,130.0,Product Pivot,,High
SAP,Social Media,Canada,2022,7,Public,107065,4584,0.0428,5891.4,Restructuring,-4.11,Low
IBM,Social Media,USA,2023,4,Series C,39212,3404,0.0868,350.8,Over-hiring Post-COVID,,Medium
Google,AI/ML,Australia,2020,11,Public,50132,3110,0.0621,1790.6,Over-hiring Post-COVID,-8.02,Medium
Gorillas,Social Media,USA,2021,2,Public,20978,3045,0.1452,2751.8,Regulatory Pressure,1.17,Medium
Spotify,FinTech,UK,2022,5,Series A,23051,2104,0.0913,41.6,Regulatory Pressure,,Medium
Zoom,Logistics,Canada,2024,12,Public,48568,8663,0.1784,1625.4,Market Downturn,-5.1,High
Stripe,HealthTech,USA,2022,3,Series B,94108,4283,0.0455,159.9,Regulatory Pressure,,Low
Airbnb,Gaming,USA,2023,6,Series D+,36061,4451,0.1234,1078.9,Product Pivot,,Medium
Microsoft,E-Commerce,USA,2022,8,Public,134464,23524,0.1749,5654.3,Product Pivot,1.16,High
PayPal,HealthTech,USA,2023,7,Private Equity,24895,248,0.01,827.3,Over-hiring Post-COVID,,Low
HP,Gaming,UK,2022,3,Public,19256,5579,0.2897,7760.3,Product Pivot,4.39,High
Stripe,Logistics,Australia,2022,8,Series A,66833,6506,0.0973,72.6,Over-hiring Post-COVID,,Medium
eBay,Logistics,USA,2023,2,Public,114061,1140,0.01,5294.2,IPO Preparation,6.53,Low
Amazon,E-Commerce,UK,2020,10,Series A,28524,3783,0.1326,48.2,IPO Preparation,,Medium
Netflix,E-Commerce,India,2020,9,Public,6447,790,0.1227,5403.5,Over-hiring Post-COVID,4.39,Medium
Coinbase,Logistics,USA,2022,4,Series D+,127692,14486,0.1134,969.7,Merger/Acquisition,,Medium
Spotify,Gaming,USA,2020,1,Series B,94738,18880,0.1993,114.3,Over-hiring Post-COVID,,High
Lyft,Hardware,Singapore,2021,8,Private Equity,67928,12213,0.1798,1479.3,Cost Cutting,,High
Klarna,Social Media,Canada,2022,7,Series A,63855,9184,0.1438,54.5,Cost Cutting,,Medium
HP,Cybersecurity,Germany,2024,11,Series B,130458,20353,0.156,232.6,Cost Cutting,,High
Oracle,SaaS,India,2023,5,Series A,144990,16188,0.1117,17.6,Cost Cutting,,Medium
Bolt,Cloud Computing,USA,2023,10,Public,136405,35743,0.262,4792.4,Restructuring,-1.55,High
Microsoft,SaaS,Germany,2022,5,Public,132137,1321,0.01,2639.1,Market Downturn,-3.13,Low
Amazon,HealthTech,UK,2024,7,Public,18902,2479,0.1312,8184.0,Market Downturn,-9.73,Medium
Salesforce,AI/ML,UK,2022,5,Series D+,76351,9559,0.1252,611.9,Over-hiring Post-COVID,,Medium
Microsoft,HealthTech,USA,2021,8,Series D+,13334,2467,0.1851,338.2,IPO Preparation,,High
Unity,AI/ML,USA,2023,11,Series D+,68350,3587,0.0525,1004.2,Product Pivot,,Medium
Airbnb,Gaming,USA,2021,6,Public,37680,376,0.01,8488.6,Cost Cutting,4.4,Low
eBay,AI/ML,Singapore,2022,5,Series C,135455,17953,0.1325,379.6,Market Downturn,,Medium
Opendoor,E-Commerce,USA,2023,9,Public,110188,15701,0.1425,5409.6,Market Downturn,1.79,Medium
Snap,Hardware,UK,2024,11,Public,107020,25595,0.2392,5818.3,Cost Cutting,-3.9,High
Bolt,Cybersecurity,USA,2023,2,Series D+,12195,224,0.0184,1252.7,IPO Preparation,,Low
HP,Cybersecurity,USA,2023,1,Series B,127635,27106,0.2124,78.0,Restructuring,,High
Peloton,E-Commerce,Canada,2024,8,Series B,58981,18248,0.3094,114.6,Restructuring,,High
IBM,Hardware,UK,2021,12,Series C,73938,6638,0.0898,245.7,Regulatory Pressure,,Medium
Lyft,FinTech,UK,2022,3,Public,111991,1873,0.0167,2664.3,Market Downturn,-3.23,Low
HP,SaaS,USA,2022,11,Series D+,149145,13041,0.0874,694.9,Regulatory Pressure,,Medium
Dropbox,Gaming,Canada,2022,12,Public,122344,14818,0.1211,7215.4,Restructuring,0.77,Medium
Zoom,SaaS,USA,2022,12,Series D+,95410,15752,0.1651,981.3,Merger/Acquisition,,High
SAP,FinTech,USA,2024,12,Series D+,56994,4142,0.0727,1006.2,Cost Cutting,,Medium
Airbnb,FinTech,UK,2023,7,Public,143860,35161,0.2444,5293.0,IPO Preparation,-5.91,High
LinkedIn,HealthTech,USA,2023,10,Public,47478,1464,0.0308,6046.6,Market Downturn,-3.28,Low
eBay,Logistics,USA,2022,11,Private Equity,118345,1183,0.01,1019.6,Cost Cutting,,Low
PayPal,HealthTech,India,2024,8,Private Equity,131121,27343,0.2085,1314.3,Restructuring,,High
Unity,Logistics,India,2024,6,Series D+,55172,551,0.01,861.4,Cost Cutting,,Low
IBM,Cloud Computing,Australia,2024,12,Public,62321,6460,0.1037,5555.0,Restructuring,-2.05,Medium
Meta,AI/ML,USA,2020,10,Public,84161,31090,0.3694,5640.4,IPO Preparation,-3.28,High
PayPal,Hardware,USA,2023,9,Series D+,69724,8299,0.119,755.7,Restructuring,,Medium
Spotify,Logistics,USA,2020,7,Private Equity,89905,2727,0.0303,1273.5,Cost Cutting,,Low
Stripe,SaaS,Brazil,2022,10,Public,55296,6381,0.1154,11315.5,IPO Preparation,-6.38,Medium
LinkedIn,E-Commerce,Germany,2020,5,Series B,129054,14961,0.1159,163.5,Restructuring,,Medium
Meta,HealthTech,India,2023,8,Public,124277,16510,0.1329,5826.3,Regulatory Pressure,-6.7,Medium
Lyft,Hardware,USA,2023,2,Private Equity,4523,782,0.173,1360.1,Merger/Acquisition,,High
